osmid,y,x,street_count,highway,ref,railway,geometry
83510216,40.7933764,-111.9416301,3,,,,POINT (-111.9416301 40.7933764)
83510218,40.794833,-111.9419973,3,,,,POINT (-111.9419973 40.794833)
83510230,40.7953137,-111.9435298,3,,,,POINT (-111.9435298 40.7953137)
83511425,40.7917606,-111.947007,3,,,,POINT (-111.947007 40.7917606)
83517917,40.7771536,-111.9462345,1,,,,POINT (-111.9462345 40.7771536)
83518735,40.7425424,-111.8969796,2,,,,POINT (-111.8969796 40.7425424)
83521718,40.7823095,-111.9084687,3,,,,POINT (-111.9084687 40.7823095)
83523735,40.7392912,-111.9366352,3,,,,POINT (-111.9366352 40.7392912)
83527465,40.7331455,-111.9343631,2,,,,POINT (-111.9343631 40.7331455)
83530570,40.7416017,-111.903605,5,traffic_signals,,,POINT (-111.903605 40.7416017)
83534966,40.7237715,-111.8728385,1,,,,POINT (-111.8728385 40.7237715)
83535259,40.7823096,-111.912461,4,,,,POINT (-111.912461 40.7823096)
83538229,40.7347782,-111.8996911,3,,,,POINT (-111.8996911 40.7347782)
83538230,40.7347852,-111.901887,1,,,,POINT (-111.901887 40.7347852)
83538457,40.7802068,-111.9225682,4,,,,POINT (-111.9225682 40.7802068)
83538459,40.7812887,-111.9225551,3,,,,POINT (-111.9225551 40.7812887)
83538461,40.7823862,-111.9225373,4,,,,POINT (-111.9225373 40.7823862)
83538463,40.7834631,-111.9224946,4,,,,POINT (-111.9224946 40.7834631)
83538465,40.7844516,-111.9224753,3,,,,POINT (-111.9224753 40.7844516)
83538468,40.7852081,-111.9200967,3,,,,POINT (-111.9200967 40.7852081)
83538688,40.7907983,-111.9444864,3,,,,POINT (-111.9444864 40.7907983)
83539194,40.7802012,-111.9071332,3,,,,POINT (-111.9071332 40.7802012)
83539200,40.7792492,-111.9072311,1,,,,POINT (-111.9072311 40.7792492)
83539774,40.7856707,-111.8715453,3,,,,POINT (-111.8715453 40.7856707)
83539921,40.7841229,-111.8789655,3,,,,POINT (-111.8789655 40.7841229)
83539923,40.7845819,-111.8787912,3,,,,POINT (-111.8787912 40.7845819)
83539927,40.7846083,-111.8780589,3,,,,POINT (-111.8780589 40.7846083)
83539931,40.7841492,-111.8760711,4,crossing,,,POINT (-111.8760711 40.7841492)
83539981,40.75518,-111.870251,1,,,,POINT (-111.870251 40.75518)
83539982,40.7541331,-111.8702539,3,,,,POINT (-111.8702539 40.7541331)
83540372,40.7359176,-111.9316132,3,,,,POINT (-111.9316132 40.7359176)
83540481,40.7662217,-111.8595758,3,,,,POINT (-111.8595758 40.7662217)
83540482,40.7662391,-111.856623,3,,,,POINT (-111.856623 40.7662391)
83540496,40.7339725,-111.9323724,3,,,,POINT (-111.9323724 40.7339725)
83540511,40.7346316,-111.9333442,1,turning_circle,,,POINT (-111.9333442 40.7346316)
83540791,40.7573147,-111.9212461,3,,,,POINT (-111.9212461 40.7573147)
83540794,40.7576138,-111.9208084,1,turning_circle,,,POINT (-111.9208084 40.7576138)
83540816,40.7583958,-111.9430292,3,,,,POINT (-111.9430292 40.7583958)
83540817,40.7590573,-111.9436332,4,,,,POINT (-111.9436332 40.7590573)
83540819,40.7621723,-111.9438456,3,,,,POINT (-111.9438456 40.7621723)
83540829,40.7845599,-111.9168631,4,,,,POINT (-111.9168631 40.7845599)
83540830,40.7845592,-111.9182136,3,,,,POINT (-111.9182136 40.7845592)
83540832,40.7845564,-111.9191473,3,,,,POINT (-111.9191473 40.7845564)
83540834,40.7845595,-111.9199037,4,,,,POINT (-111.9199037 40.7845595)
83540835,40.7845016,-111.920977,3,,,,POINT (-111.920977 40.7845016)
83540969,40.7728699,-111.88686,3,,,,POINT (-111.88686 40.7728699)
83540977,40.7728516,-111.883547,4,,,,POINT (-111.883547 40.7728516)
83540979,40.7728466,-111.8820595,4,stop,,,POINT (-111.8820595 40.7728466)
83540981,40.7728408,-111.8805532,4,,,,POINT (-111.8805532 40.7728408)
83540983,40.7728334,-111.8790636,4,stop,,,POINT (-111.8790636 40.7728334)
83540985,40.7728261,-111.8775645,4,traffic_signals,,,POINT (-111.8775645 40.7728261)
83540987,40.7728307,-111.8760522,4,,,,POINT (-111.8760522 40.7728307)
83540989,40.7728346,-111.8745605,4,,,,POINT (-111.8745605 40.7728346)
83540991,40.7728331,-111.8730539,4,,,,POINT (-111.8730539 40.7728331)
83540993,40.7728351,-111.871565,4,stop,,,POINT (-111.871565 40.7728351)
83540995,40.7728359,-111.8700748,4,,,,POINT (-111.8700748 40.7728359)
83540997,40.7728343,-111.8685818,4,stop,,,POINT (-111.8685818 40.7728343)
83540999,40.7728356,-111.8670973,4,,,,POINT (-111.8670973 40.7728356)
83541001,40.7728333,-111.8656042,4,,,,POINT (-111.8656042 40.7728333)
83541003,40.7728343,-111.8640813,4,stop,,,POINT (-111.8640813 40.7728343)
83541005,40.7728273,-111.8625612,4,,,,POINT (-111.8625612 40.7728273)
83541006,40.7728292,-111.8610627,4,,,,POINT (-111.8610627 40.7728292)
83541007,40.7728312,-111.8595627,4,,,,POINT (-111.8595627 40.7728312)
83541008,40.7728309,-111.8580644,4,,,,POINT (-111.8580644 40.7728309)
83541009,40.7728318,-111.8565835,4,,,,POINT (-111.8565835 40.7728318)
83541010,40.7728267,-111.8550886,4,,,,POINT (-111.8550886 40.7728267)
83541011,40.7728264,-111.8535817,4,,,,POINT (-111.8535817 40.7728264)
83541013,40.7728438,-111.8522443,4,stop,,,POINT (-111.8522443 40.7728438)
83541301,40.792131,-111.9347837,3,,,,POINT (-111.9347837 40.792131)
83541303,40.7921321,-111.935342,1,turning_circle,,,POINT (-111.935342 40.7921321)
83541839,40.7693446,-111.879654,3,traffic_signals,,,POINT (-111.879654 40.7693446)
83541842,40.7684422,-111.8796561,3,,,,POINT (-111.8796561 40.7684422)
83541843,40.7671716,-111.879659,4,traffic_signals,,,POINT (-111.879659 40.7671716)
83541845,40.7650112,-111.8796538,4,traffic_signals,,,POINT (-111.8796538 40.7650112)
83541851,40.7628347,-111.879636,4,traffic_signals,,,POINT (-111.879636 40.7628347)
83541857,40.7584903,-111.879646,4,traffic_signals,,,POINT (-111.879646 40.7584903)
83541860,40.7563015,-111.879641,4,traffic_signals,,,POINT (-111.879641 40.7563015)
83541862,40.7554319,-111.879629,3,,,,POINT (-111.879629 40.7554319)
83541866,40.7549775,-111.8796227,3,,,,POINT (-111.8796227 40.7549775)
83541868,40.7541261,-111.879611,4,stop,,,POINT (-111.879611 40.7541261)
83541872,40.7519578,-111.879629,4,traffic_signals,,,POINT (-111.879629 40.7519578)
83541874,40.7506563,-111.879627,3,,,,POINT (-111.879627 40.7506563)
83541878,40.7497883,-111.879626,4,traffic_signals,,,POINT (-111.879626 40.7497883)
83541879,40.7492855,-111.8796289,3,,,,POINT (-111.8796289 40.7492855)
83541880,40.7486273,-111.87963,3,,,,POINT (-111.87963 40.7486273)
83541884,40.7474431,-111.8796373,3,,,,POINT (-111.8796373 40.7474431)
83541886,40.7464588,-111.8796527,4,,,,POINT (-111.8796527 40.7464588)
83541888,40.7448716,-111.879637,4,,,,POINT (-111.879637 40.7448716)
83541890,40.7440712,-111.8796452,3,,,,POINT (-111.8796452 40.7440712)
83541892,40.7427031,-111.8796286,3,,,,POINT (-111.8796286 40.7427031)
83541893,40.7425168,-111.8796274,3,,,,POINT (-111.8796274 40.7425168)
83541894,40.7416266,-111.879646,4,traffic_signals,,,POINT (-111.879646 40.7416266)
83541895,40.7407898,-111.8796632,4,,,,POINT (-111.8796632 40.7407898)
83541897,40.7399531,-111.8796648,4,,,,POINT (-111.8796648 40.7399531)
83541899,40.7384151,-111.8796697,4,,,,POINT (-111.8796697 40.7384151)
83541901,40.7379791,-111.8796657,3,,,,POINT (-111.8796657 40.7379791)
83541903,40.737411,-111.8796694,3,,,,POINT (-111.8796694 40.737411)
83541905,40.7371979,-111.87967,3,,,,POINT (-111.87967 40.7371979)
83541907,40.7364,-111.8796714,4,,,,POINT (-111.8796714 40.7364)
83541909,40.7356158,-111.879672,4,,,,POINT (-111.879672 40.7356158)
83541911,40.7347676,-111.8796744,4,,,,POINT (-111.8796744 40.7347676)
83541924,40.7341367,-111.8796756,3,,,,POINT (-111.8796756 40.7341367)
83541926,40.7335205,-111.8796757,4,,,,POINT (-111.8796757 40.7335205)
83541928,40.7326799,-111.8796783,4,,,,POINT (-111.8796783 40.7326799)
83541930,40.7322646,-111.8796791,3,,,,POINT (-111.8796791 40.7322646)
83541932,40.7318734,-111.8796798,3,,,,POINT (-111.8796798 40.7318734)
83541933,40.7314738,-111.8796774,4,,,,POINT (-111.8796774 40.7314738)
83541934,40.7306712,-111.8796768,4,,,,POINT (-111.8796768 40.7306712)
83541936,40.7298832,-111.8796836,3,,,,POINT (-111.8796836 40.7298832)
83541938,40.7289206,-111.8796854,4,,,,POINT (-111.8796854 40.7289206)
83541940,40.7280424,-111.879687,3,,,,POINT (-111.879687 40.7280424)
83541944,40.7271941,-111.8796886,4,,,,POINT (-111.8796886 40.7271941)
83541946,40.7263029,-111.8796903,4,,,,POINT (-111.8796903 40.7263029)
83541948,40.7254361,-111.87969,4,,,,POINT (-111.87969 40.7254361)
83541950,40.7233801,-111.8796967,3,,,,POINT (-111.8796967 40.7233801)
83542105,40.7335109,-111.89107,4,traffic_signals,,,POINT (-111.89107 40.7335109)
83542106,40.7335187,-111.889669,4,,,,POINT (-111.889669 40.7335187)
83542107,40.7335319,-111.888347,4,,,,POINT (-111.888347 40.7335319)
83542108,40.7335329,-111.8867339,4,,,,POINT (-111.8867339 40.7335329)
83542109,40.7335299,-111.8854299,4,,,,POINT (-111.8854299 40.7335299)
83542110,40.7335272,-111.8844128,3,,,,POINT (-111.8844128 40.7335272)
83542111,40.7335291,-111.8834864,3,,,,POINT (-111.8834864 40.7335291)
83542113,40.73352,-111.882523,4,traffic_signals,,,POINT (-111.882523 40.73352)
83542115,40.7335287,-111.881094,3,,,,POINT (-111.881094 40.7335287)
83542117,40.7335161,-111.8782421,3,,,,POINT (-111.8782421 40.7335161)
83542119,40.7335188,-111.876786,4,traffic_signals,,,POINT (-111.876786 40.7335188)
83542121,40.7335178,-111.8754486,3,,,,POINT (-111.8754486 40.7335178)
83542125,40.7335158,-111.873931,4,,,,POINT (-111.873931 40.7335158)
83542128,40.7335238,-111.871264,4,,,,POINT (-111.871264 40.7335238)
83542138,40.7335129,-111.868211,4,,,,POINT (-111.868211 40.7335129)
83542139,40.7335068,-111.8667734,3,,,,POINT (-111.8667734 40.7335068)
83542141,40.733512,-111.8653456,4,traffic_signals,,,POINT (-111.8653456 40.733512)
83542142,40.7335121,-111.8624823,4,,,,POINT (-111.8624823 40.7335121)
83542145,40.7335162,-111.856632,4,,,,POINT (-111.856632 40.7335162)
83542149,40.7334952,-111.8509449,4,,,,POINT (-111.8509449 40.7334952)
83542596,40.7322365,-111.9168418,3,,,,POINT (-111.9168418 40.7322365)
83542603,40.731763,-111.8911044,3,,,,POINT (-111.8911044 40.731763)
83542605,40.7317637,-111.8925671,3,,,,POINT (-111.8925671 40.7317637)
83542607,40.7317714,-111.8939558,3,,,,POINT (-111.8939558 40.7317714)
83543031,40.7705587,-111.8595618,4,,,,POINT (-111.8595618 40.7705587)
83543033,40.7716965,-111.8595638,4,,,,POINT (-111.8595638 40.7716965)
83543037,40.7739342,-111.8595638,3,,,,POINT (-111.8595638 40.7739342)
83543135,40.7425246,-111.9025637,3,,,,POINT (-111.9025637 40.7425246)
83543141,40.7416438,-111.9025676,3,,,,POINT (-111.9025676 40.7416438)
83543145,40.7389066,-111.9025621,3,,,,POINT (-111.9025621 40.7389066)
83543147,40.7380291,-111.90256,3,,,,POINT (-111.90256 40.7380291)
83543149,40.7371659,-111.9025539,4,,,,POINT (-111.9025539 40.7371659)
83543253,40.7845295,-111.9237689,3,,,,POINT (-111.9237689 40.7845295)
83543290,40.7790226,-111.928453,3,,,,POINT (-111.928453 40.7790226)
83543292,40.7790175,-111.9297359,3,,,,POINT (-111.9297359 40.7790175)
83543294,40.77902,-111.9304112,1,,,,POINT (-111.9304112 40.77902)
83543300,40.7791297,-111.9225612,3,,,,POINT (-111.9225612 40.7791297)
83543302,40.7791358,-111.9254293,3,,,,POINT (-111.9254293 40.7791358)
83543311,40.7790084,-111.913986,3,,,,POINT (-111.913986 40.7790084)
83543313,40.7790158,-111.9168301,3,,,,POINT (-111.9168301 40.7790158)
83543896,40.7671599,-111.896801,3,traffic_signals,,,POINT (-111.896801 40.7671599)
83543900,40.7671741,-111.8996048,4,,,,POINT (-111.8996048 40.7671741)
83543910,40.7671856,-111.905494,4,,,,POINT (-111.905494 40.7671856)
83543914,40.7671939,-111.908267,4,,,,POINT (-111.908267 40.7671939)
83543920,40.7671792,-111.911496,1,turning_circle,,,POINT (-111.911496 40.7671792)
83544142,40.7551461,-111.881392,3,,,,POINT (-111.881392 40.7551461)
83544627,40.7762531,-111.8835481,3,,,,POINT (-111.8835481 40.7762531)
83544628,40.776249,-111.8820541,4,,,,POINT (-111.8820541 40.776249)
83544630,40.7762492,-111.8805567,4,,,,POINT (-111.8805567 40.7762492)
83544632,40.7762455,-111.8790624,4,,,,POINT (-111.8790624 40.7762455)
83544634,40.7762427,-111.877565,4,,,,POINT (-111.877565 40.7762427)
83544636,40.7762414,-111.8760622,4,,,,POINT (-111.8760622 40.7762414)
83544638,40.776236,-111.8745601,4,,,,POINT (-111.8745601 40.776236)
83544640,40.7762328,-111.8730521,4,,,,POINT (-111.8730521 40.7762328)
83544642,40.7762286,-111.8715689,4,,,,POINT (-111.8715689 40.7762286)
83544644,40.7762256,-111.8700734,4,,,,POINT (-111.8700734 40.7762256)
83544646,40.7762224,-111.8685833,4,,,,POINT (-111.8685833 40.7762224)
83544647,40.7762197,-111.8670985,4,,,,POINT (-111.8670985 40.7762197)
83544649,40.7762164,-111.8655989,4,,,,POINT (-111.8655989 40.7762164)
83544651,40.7762214,-111.8640893,3,,,,POINT (-111.8640893 40.7762214)
83545142,40.7399416,-111.8624758,3,,,,POINT (-111.8624758 40.7399416)
83545144,40.7399322,-111.8610158,3,,,,POINT (-111.8610158 40.7399322)
83545146,40.7399296,-111.8596188,4,,,,POINT (-111.8596188 40.7399296)
83545148,40.739997,-111.8538591,3,,,,POINT (-111.8538591 40.739997)
83545158,40.7400582,-111.8739306,3,,,,POINT (-111.8739306 40.7400582)
83545161,40.7400602,-111.8732744,4,,,,POINT (-111.8732744 40.7400602)
83545163,40.740052,-111.8721407,4,,,,POINT (-111.8721407 40.740052)
83545175,40.7395668,-111.8681951,3,,,,POINT (-111.8681951 40.7395668)
83545180,40.739952,-111.8825204,3,,,,POINT (-111.8825204 40.739952)
83545182,40.7399455,-111.8811019,3,,,,POINT (-111.8811019 40.7399455)
83545184,40.7399415,-111.8782338,3,,,,POINT (-111.8782338 40.7399415)
83545186,40.7399509,-111.8767954,3,,,,POINT (-111.8767954 40.7399509)
83545189,40.7403377,-111.8910829,3,,,,POINT (-111.8910829 40.7403377)
83545190,40.7403419,-111.8896763,4,,,,POINT (-111.8896763 40.7403419)
83545191,40.7403444,-111.8883208,3,,,,POINT (-111.8883208 40.7403444)
83545194,40.7398356,-111.8681979,3,,,,POINT (-111.8681979 40.7398356)
83545196,40.7398374,-111.865348,3,,,,POINT (-111.865348 40.7398374)
83545301,40.7694453,-111.9140839,4,,,,POINT (-111.9140839 40.7694453)
83545308,40.7671618,-111.9141024,4,,,,POINT (-111.9141024 40.7671618)
83545312,40.7562889,-111.9140927,3,,,,POINT (-111.9140927 40.7562889)
83545313,40.7551983,-111.9140879,4,,,,POINT (-111.9140879 40.7551983)
83545315,40.7540569,-111.9140833,4,,,,POINT (-111.9140833 40.7540569)
83545319,40.7508589,-111.9140857,4,,,,POINT (-111.9140857 40.7508589)
83545321,40.7498044,-111.9139628,5,,,,POINT (-111.9139628 40.7498044)
83545324,40.7487903,-111.9139626,3,,,,POINT (-111.9139626 40.7487903)
83545325,40.7478898,-111.9139428,3,,,,POINT (-111.9139428 40.7478898)
83545329,40.7462214,-111.9141069,3,,,,POINT (-111.9141069 40.7462214)
83545331,40.7452441,-111.9140903,3,,,,POINT (-111.9140903 40.7452441)
83545333,40.7449779,-111.9140866,3,,,,POINT (-111.9140866 40.7449779)
83545334,40.7444636,-111.9140825,3,,,,POINT (-111.9140825 40.7444636)
83545335,40.74355,-111.9140848,3,,,,POINT (-111.9140848 40.74355)
83545337,40.7426658,-111.9140789,3,,,,POINT (-111.9140789 40.7426658)
83545339,40.7414951,-111.9140802,4,traffic_signals,,,POINT (-111.9140802 40.7414951)
83545341,40.7402928,-111.9139333,3,,,,POINT (-111.9139333 40.7402928)
83545344,40.7395132,-111.9139383,3,,,,POINT (-111.9139383 40.7395132)
83545346,40.7392862,-111.9139406,3,,,,POINT (-111.9139406 40.7392862)
83545472,40.7450806,-111.9358275,3,,,,POINT (-111.9358275 40.7450806)
83545476,40.744228,-111.9347077,3,,,,POINT (-111.9347077 40.744228)
83545478,40.7436422,-111.934203,3,,,,POINT (-111.934203 40.7436422)
83545480,40.7430516,-111.9336893,3,,,,POINT (-111.9336893 40.7430516)
83545481,40.7414357,-111.9323522,3,,,,POINT (-111.9323522 40.7414357)
83545486,40.785504,-111.8607816,3,,,,POINT (-111.8607816 40.785504)
83545490,40.7869191,-111.8613646,3,,,,POINT (-111.8613646 40.7869191)
83545609,40.7882546,-111.8715626,3,,,,POINT (-111.8715626 40.7882546)
83545618,40.787483,-111.8638779,3,,,,POINT (-111.8638779 40.787483)
83545632,40.7933732,-111.9425433,3,,,,POINT (-111.9425433 40.7933732)
83545634,40.7942163,-111.94262,1,turning_circle,,,POINT (-111.94262 40.7942163)
83545774,40.7286569,-111.8939725,3,,,,POINT (-111.8939725 40.7286569)
83545776,40.7287449,-111.8961848,1,turning_circle,,,POINT (-111.8961848 40.7287449)
83545841,40.7360191,-111.9212965,3,,,,POINT (-111.9212965 40.7360191)
83545843,40.7366188,-111.9212703,1,,,,POINT (-111.9212703 40.7366188)
83545903,40.7389469,-111.923523,3,,,,POINT (-111.923523 40.7389469)
83545909,40.7372825,-111.9247037,3,,,,POINT (-111.9247037 40.7372825)
83545910,40.7372777,-111.9258564,3,,,,POINT (-111.9258564 40.7372777)
83545996,40.7309581,-111.8589681,1,,,,POINT (-111.8589681 40.7309581)
83546000,40.7302711,-111.8589681,3,,,,POINT (-111.8589681 40.7302711)
83546010,40.7262358,-111.8581744,1,,,,POINT (-111.8581744 40.7262358)
83546012,40.7254034,-111.85818,3,,,,POINT (-111.85818 40.7254034)
83546018,40.7606655,-111.8581787,3,,,,POINT (-111.8581787 40.7606655)
83546019,40.7596645,-111.8583579,1,,,,POINT (-111.8583579 40.7596645)
83546022,40.7579048,-111.858186,1,,,,POINT (-111.858186 40.7579048)
83546024,40.7563192,-111.8581765,4,,,,POINT (-111.8581765 40.7563192)
83546026,40.7541436,-111.858173,4,,,,POINT (-111.858173 40.7541436)
83546028,40.7519871,-111.8581442,3,,,,POINT (-111.8581442 40.7519871)
83546050,40.7649675,-111.8581151,5,,,,POINT (-111.8581151 40.7649675)
83546052,40.7628401,-111.8581162,3,,,,POINT (-111.8581162 40.7628401)
83546055,40.7259235,-111.9273133,3,,,,POINT (-111.9273133 40.7259235)
83546057,40.7248228,-111.9273132,1,turning_circle,,,POINT (-111.9273132 40.7248228)
83546687,40.7821051,-111.850688,4,,,,POINT (-111.850688 40.7821051)
83547197,40.7322803,-111.8939548,3,,,,POINT (-111.8939548 40.7322803)
83547443,40.7584755,-111.888344,4,traffic_signals,,,POINT (-111.888344 40.7584755)
83547445,40.7584644,-111.885366,4,traffic_signals,,,POINT (-111.885366 40.7584644)
83547447,40.7584829,-111.88259,4,,,,POINT (-111.88259 40.7584829)
83547453,40.7584972,-111.876768,4,traffic_signals,,,POINT (-111.876768 40.7584972)
83547459,40.7584814,-111.8740056,4,,,,POINT (-111.8740056 40.7584814)
83547460,40.758484,-111.8724451,3,,,,POINT (-111.8724451 40.758484)
83547463,40.758488,-111.8711562,4,,,,POINT (-111.8711562 40.758488)
83547464,40.7584928,-111.8682751,4,,,,POINT (-111.8682751 40.7584928)
83547466,40.758496,-111.866765,3,,,,POINT (-111.866765 40.758496)
83547468,40.7584991,-111.865341,4,,,,POINT (-111.865341 40.7584991)
83547470,40.7584808,-111.8625864,3,,,,POINT (-111.8625864 40.7584808)
83547507,40.7684546,-111.9082675,3,,,,POINT (-111.9082675 40.7684546)
83547509,40.7698507,-111.9082671,3,,,,POINT (-111.9082671 40.7698507)
83547511,40.7715604,-111.90823,4,traffic_signals,,,POINT (-111.90823 40.7715604)
83547513,40.7735783,-111.9082459,3,,,,POINT (-111.9082459 40.7735783)
83547518,40.7758635,-111.9082635,4,stop,,,POINT (-111.9082635 40.7758635)
83547522,40.7779351,-111.9082493,3,,,,POINT (-111.9082493 40.7779351)
83547524,40.7802082,-111.9083694,3,,,,POINT (-111.9083694 40.7802082)
83547526,40.7810748,-111.9082409,3,,,,POINT (-111.9082409 40.7810748)
83547527,40.7813737,-111.9082416,3,,,,POINT (-111.9082416 40.7813737)
83547821,40.7331364,-111.9485422,3,,,,POINT (-111.9485422 40.7331364)
83547954,40.7738348,-111.8498495,3,,,,POINT (-111.8498495 40.7738348)
83547958,40.7747762,-111.849826,4,stop,,,POINT (-111.849826 40.7747762)
83547960,40.7756277,-111.8498293,3,,,,POINT (-111.8498293 40.7756277)
83548074,40.7448683,-111.882496,3,,,,POINT (-111.882496 40.7448683)
83548076,40.7448705,-111.881058,3,,,,POINT (-111.881058 40.7448705)
83548078,40.7448706,-111.8782549,4,,,,POINT (-111.8782549 40.7448706)
83548080,40.7448676,-111.876772,3,,,,POINT (-111.876772 40.7448676)
83548086,40.743598,-111.853892,3,,,,POINT (-111.853892 40.743598)
83548088,40.7436856,-111.8527828,3,,,,POINT (-111.8527828 40.7436856)
83548090,40.743832,-111.8524144,3,,,,POINT (-111.8524144 40.743832)
83548092,40.7441836,-111.8512928,3,,,,POINT (-111.8512928 40.7441836)
83548101,40.7449005,-111.8653376,3,,,,POINT (-111.8653376 40.7449005)
83548103,40.7449083,-111.8633638,3,,,,POINT (-111.8633638 40.7449083)
83548105,40.7447393,-111.8613962,3,,,,POINT (-111.8613962 40.7447393)
83548107,40.7447733,-111.8595711,3,,,,POINT (-111.8595711 40.7447733)
83548109,40.7447562,-111.8551485,3,,,,POINT (-111.8551485 40.7447562)
83548110,40.7447583,-111.8538986,3,,,,POINT (-111.8538986 40.7447583)
83548113,40.7448518,-111.8910836,4,,,,POINT (-111.8910836 40.7448518)
83548119,40.7448553,-111.8883125,4,,,,POINT (-111.8883125 40.7448553)
83548120,40.7448701,-111.8853656,3,,,,POINT (-111.8853656 40.7448701)
83548354,40.7563167,-111.865326,4,traffic_signals,,,POINT (-111.865326 40.7563167)
83548356,40.7554665,-111.8653328,3,,,,POINT (-111.8653328 40.7554665)
83548358,40.7552152,-111.8653309,3,,,,POINT (-111.8653309 40.7552152)
83548360,40.7541384,-111.8653271,4,,,,POINT (-111.8653271 40.7541384)
83548362,40.7530355,-111.865335,3,,,,POINT (-111.865335 40.7530355)
83548364,40.7519724,-111.865339,4,traffic_signals,,,POINT (-111.865339 40.7519724)
83548366,40.7498386,-111.865351,4,,,,POINT (-111.865351 40.7498386)
83548368,40.7480315,-111.8653397,4,,,,POINT (-111.8653397 40.7480315)
83548370,40.7464632,-111.8653366,3,,,,POINT (-111.8653366 40.7464632)
83548372,40.7456159,-111.865335,3,,,,POINT (-111.865335 40.7456159)
83548376,40.7438981,-111.8653463,4,,,,POINT (-111.8653463 40.7438981)
83548378,40.742921,-111.8653492,3,,,,POINT (-111.8653492 40.742921)
83548381,40.7416275,-111.865348,4,traffic_signals,,,POINT (-111.865348 40.7416275)
83548383,40.7407301,-111.8653478,3,,,,POINT (-111.8653478 40.7407301)
83548385,40.7391471,-111.8653478,3,,,,POINT (-111.8653478 40.7391471)
83548387,40.7389505,-111.8653477,3,,,,POINT (-111.8653477 40.7389505)
83548389,40.7380623,-111.8653473,3,,,,POINT (-111.8653473 40.7380623)
83548391,40.7371795,-111.865347,3,,,,POINT (-111.865347 40.7371795)
83548393,40.7363907,-111.8653467,3,,,,POINT (-111.8653467 40.7363907)
83548395,40.7359843,-111.8653465,3,,,,POINT (-111.8653465 40.7359843)
83548397,40.7356086,-111.8653464,3,,,,POINT (-111.8653464 40.7356086)
83548399,40.7354538,-111.8653463,3,,,,POINT (-111.8653463 40.7354538)
83548401,40.7344813,-111.865346,4,,,,POINT (-111.865346 40.7344813)
83548404,40.7325501,-111.8653434,3,,,,POINT (-111.8653434 40.7325501)
83548405,40.7318849,-111.8653464,3,,,,POINT (-111.8653464 40.7318849)
83548406,40.7315809,-111.8653414,3,,,,POINT (-111.8653414 40.7315809)
83548407,40.7314478,-111.8653418,3,,,,POINT (-111.8653418 40.7314478)
83548408,40.7310408,-111.865345,3,,,,POINT (-111.865345 40.7310408)
83548409,40.7306573,-111.8653491,3,,,,POINT (-111.8653491 40.7306573)
83548410,40.7298512,-111.8653484,4,,,,POINT (-111.8653484 40.7298512)
83548411,40.729063,-111.8653464,3,,,,POINT (-111.8653464 40.729063)
83548413,40.7286733,-111.865344,3,,,,POINT (-111.865344 40.7286733)
83548415,40.7282934,-111.8653464,3,,,,POINT (-111.8653464 40.7282934)
83548416,40.7273919,-111.8653483,3,,,,POINT (-111.8653483 40.7273919)
83548417,40.7266055,-111.8653586,3,,,,POINT (-111.8653586 40.7266055)
83548419,40.7254053,-111.8653483,4,traffic_signals,,,POINT (-111.8653483 40.7254053)
83548420,40.7245509,-111.8653585,3,,,,POINT (-111.8653585 40.7245509)
83549382,40.7298788,-111.9168644,3,,,,POINT (-111.9168644 40.7298788)
83549386,40.7307528,-111.9168564,3,,,,POINT (-111.9168564 40.7307528)
83549388,40.7335081,-111.9168472,4,traffic_signals,,,POINT (-111.9168472 40.7335081)
83549392,40.7373289,-111.9168265,3,,,,POINT (-111.9168265 40.7373289)
83549393,40.7392149,-111.9168608,3,,,,POINT (-111.9168608 40.7392149)
83549394,40.7405057,-111.9168642,4,traffic_signals,,,POINT (-111.9168642 40.7405057)
83549397,40.7415638,-111.9168507,3,,,,POINT (-111.9168507 40.7415638)
83549399,40.7426632,-111.9168515,3,,,,POINT (-111.9168515 40.7426632)
83549403,40.7449691,-111.9168721,4,,,,POINT (-111.9168721 40.7449691)
83549404,40.7462287,-111.916847,3,,,,POINT (-111.916847 40.7462287)
83549406,40.7478747,-111.9168363,3,,,,POINT (-111.9168363 40.7478747)
83549408,40.7487676,-111.9168458,3,,,,POINT (-111.9168458 40.7487676)
83549409,40.7490126,-111.9168397,3,,,,POINT (-111.9168397 40.7490126)
83549412,40.7498281,-111.9168262,4,traffic_signals,,,POINT (-111.9168262 40.7498281)
83549425,40.7540964,-111.9168302,4,,,,POINT (-111.9168302 40.7540964)
83549430,40.755201,-111.9168319,3,,,,POINT (-111.9168319 40.755201)
83549434,40.7562448,-111.9168246,4,,,,POINT (-111.9168246 40.7562448)
83549437,40.7584602,-111.9168328,4,,,,POINT (-111.9168328 40.7584602)
83549439,40.7595501,-111.9168348,3,,,,POINT (-111.9168348 40.7595501)
83549440,40.7606708,-111.9168247,5,traffic_signals,,,POINT (-111.9168247 40.7606708)
83549441,40.7628035,-111.9168328,4,,,,POINT (-111.9168328 40.7628035)
83549444,40.7649932,-111.9168392,4,traffic_signals,,,POINT (-111.9168392 40.7649932)
83549446,40.766078,-111.9168424,3,,,,POINT (-111.9168424 40.766078)
83549448,40.7671563,-111.9168455,4,,,,POINT (-111.9168455 40.7671563)
83549450,40.768218,-111.9168445,3,,,,POINT (-111.9168445 40.768218)
